algorithm,run_id,repetition,runtime_s,latency_ms
ML-KEM-768,ML-KEM-768_run01,1,0.209321,0.209321
ML-KEM-768,ML-KEM-768_run02,2,0.209036,0.209036
ML-KEM-768,ML-KEM-768_run03,3,0.209165,0.209165
ML-KEM-768,ML-KEM-768_run04,4,0.209171,0.209171
ML-KEM-768,ML-KEM-768_run05,5,0.210859,0.210859
ML-KEM-768,ML-KEM-768_run06,6,0.208881,0.208881
ML-KEM-768,ML-KEM-768_run07,7,0.208441,0.208441
ML-KEM-768,ML-KEM-768_run08,8,0.209144,0.209144
ML-KEM-768,ML-KEM-768_run09,9,0.208247,0.208247
ML-KEM-768,ML-KEM-768_run10,10,0.209799,0.209799
ML-KEM-768,ML-KEM-768_run11,11,0.209551,0.209551
ML-KEM-768,ML-KEM-768_run12,12,0.209804,0.209804
ML-KEM-768,ML-KEM-768_run13,13,0.209641,0.209641
ML-KEM-768,ML-KEM-768_run14,14,0.208648,0.208648
ML-KEM-768,ML-KEM-768_run15,15,0.209729,0.209729
ML-KEM-768,ML-KEM-768_run16,16,0.209649,0.209649
ML-KEM-768,ML-KEM-768_run17,17,0.208737,0.208737
ML-KEM-768,ML-KEM-768_run18,18,0.208641,0.208641
ML-KEM-768,ML-KEM-768_run19,19,0.208677,0.208677
ML-KEM-768,ML-KEM-768_run20,20,0.210306,0.210306
ML-KEM-768,ML-KEM-768_run21,21,0.209578,0.209578
ML-KEM-768,ML-KEM-768_run22,22,0.208321,0.208321
ML-KEM-768,ML-KEM-768_run23,23,0.209353,0.209353
ML-KEM-768,ML-KEM-768_run24,24,0.210061,0.210061
ML-KEM-768,ML-KEM-768_run25,25,0.208968,0.208968
ML-KEM-768,ML-KEM-768_run26,26,0.209512,0.209512
ML-KEM-768,ML-KEM-768_run27,27,0.210171,0.210171
ML-KEM-768,ML-KEM-768_run28,28,0.209246,0.209246
ML-KEM-768,ML-KEM-768_run29,29,0.209079,0.209079
ML-KEM-768,ML-KEM-768_run30,30,0.209096,0.209096
