run_id,phase,mean_voltage,std_voltage,ci95_voltage_low,ci95_voltage_high,mean_current,std_current,ci95_current_low,ci95_current_high,mean_power,std_power,ci95_power_low,ci95_power_high,mean_energy,std_energy,ci95_energy_low,ci95_energy_high
ML-KEM-768_run04_waveform,active,5.395955882352942,0.0019530330860726567,5.3949517253982915,5.396960039307592,0.5844025294117646,0.001552506405689153,0.5836043042738863,0.5852007545496429,3.153411529411765,0.008881411579231372,3.1488451289406254,3.1579779298829043,0.32180076470588237,0.20308998668309863,0.21738152879950678,0.42622000061225795
ML-KEM-768_run04_waveform,idle_post,5.39545,0.0032513733362117456,5.394525969921807,5.396374030078194,0.42585152,0.0011110623568532652,0.42553575957192263,0.42616728042807733,2.2976615000000002,0.006406469126068219,2.295840801619541,2.2994821983804594,1.3607897599999998,0.42645860959044873,1.2395915641553132,1.4819879558446865
ML-KEM-768_run30_waveform,active,5.39389705882353,0.00695805447368908,5.3903195573257765,5.3974745603212835,0.584581294117647,0.0047052035392306,0.5821621016878544,0.5870004865474396,3.153167176470588,0.025137685887515842,3.14024257100038,3.1660917819407963,0.32264776470588236,0.2034352737031884,0.21805099859531002,0.4272445308164547
ML-KEM-768_run30_waveform,idle_post,5.395500000000001,0.0032635119433030864,5.394572520167841,5.396427479832161,0.42695651999999995,0.0011320989219054968,0.42663478104628433,0.4272782589537156,2.3036437600000004,0.006211611409978217,2.301878439569723,2.3054090804302776,1.3638561399999998,0.42771820669478694,1.2422999706190687,1.4854123093809308
ML-KEM-768_run15_waveform,active,5.395735294117648,0.002298896794244641,5.39455331045315,5.396917277782146,0.5841081176470589,0.007123629489964643,0.5804454853313509,0.587770749962767,3.1517056470588236,0.03954698194859689,3.1313724651776345,3.1720388289400128,0.3226511764705882,0.20357764111335855,0.21798121179207697,0.42732114114909947
ML-KEM-768_run15_waveform,idle_post,5.39605,0.0017561844075920678,5.395550897913692,5.396549102086308,0.4267061,0.0015385991276190792,0.42626883496606216,0.4271433650339378,2.3025283599999997,0.008443365596872407,2.3001287820475675,2.304927937952432,1.3638125000000003,0.4274667904270578,1.2423277823317784,1.4852972176682222
ML-KEM-768_run12_waveform,active,5.393970588235295,0.006423152916002553,5.3906681077410425,5.397273068729547,0.5857698235294118,0.0032651178431125087,0.5840910548422382,0.5874485922165853,3.1596287058823527,0.01864495461165268,3.150042354798014,3.1692150569666913,0.3225447058823529,0.20366923463570924,0.217827648160142,0.4272617636045638
ML-KEM-768_run12_waveform,idle_post,5.396425000000001,0.0012113936147247664,5.3960807257439285,5.396769274256073,0.4263342000000001,0.0011463963769400261,0.42600839775452204,0.4266600022454782,2.30068094,0.006186189247387256,2.298922844468391,2.302439035531609,1.3629744,0.4271227942847732,1.2415874449537179,1.484361355046282
ML-KEM-768_run03_waveform,active,5.395808823529412,0.0023775141491506877,5.394586418550883,5.397031228507942,0.5851598235294118,0.0029857920899506326,0.5836246708923966,0.586694976166427,3.1574131176470583,0.016683108073296635,3.148835454976395,3.165990780317722,0.3223552941176471,0.20344679208817862,0.21775260579998224,0.4269579824353119
ML-KEM-768_run03_waveform,idle_post,5.396475000000001,0.0017439765140714024,5.395979367358643,5.3969706326413585,0.4255654,0.001478666718806552,0.425145167568189,0.425985632431811,2.2965534400000003,0.008013883802399873,2.29427591942305,2.2988309605769506,1.3617164199999998,0.4265274776947154,1.2404986520566366,1.482934187943363
