run_id,phase,mean_voltage,std_voltage,ci95_voltage_low,ci95_voltage_high,mean_current,std_current,ci95_current_low,ci95_current_high,mean_power,std_power,ci95_power_low,ci95_power_high,mean_energy,std_energy,ci95_energy_low,ci95_energy_high
SNTRUP761_run03_waveform,active,5.394753125,0.005058585117124908,5.394466624651436,5.395039625348565,0.5729046666666666,0.010788981428867568,0.5722936169623613,0.573515716370972,3.0906778483333333,0.058190797275900964,3.0873821276294686,3.093973569037198,23.655450102499998,13.679705326109403,22.88068003271958,24.430220172280414
SNTRUP761_run03_waveform,idle_post,5.384875000000001,0.005545785769024889,5.383298905123191,5.3864510948768105,0.43731964000000006,0.0014097196386487106,0.43691900211156554,0.4377202778884346,2.35491328,0.008274469108168854,2.3525617018985616,2.357264858101438,48.046127299999995,0.43726303574226494,47.921858520217526,48.17039607978246
SNTRUP761_run13_waveform,active,5.396177083333334,0.0031341955338532743,5.395999573596495,5.396354593070172,0.5741039425000001,0.010944417040337101,0.5734840894730592,0.574723795526941,3.0979668166666667,0.059082207207402725,3.0946206096607676,3.101313023672566,23.706833060833333,13.709355131379878,22.930383731072475,24.48328239059419
SNTRUP761_run13_waveform,idle_post,5.3964,0.002076963049792689,5.395809733632268,5.396990266367732,0.43764154,0.0018364932556258315,0.437119614391612,0.438163465608388,2.3616890799999997,0.009928470784361444,2.358867439823203,2.3645107201767965,48.16249284,0.43830149791668976,48.037928932533006,48.28705674746699
SNTRUP761_run28_waveform,active,5.3961531250000005,0.003315609427028767,5.39596534062264,5.396340909377361,0.57414881,0.010617104902592826,0.5735474947735274,0.5747501252264725,3.0981965141666667,0.05739962956042946,3.0949456024006783,3.101447425932655,23.698703325,13.70962193879314,22.92223888421202,24.47516776578798
SNTRUP761_run28_waveform,idle_post,5.396650000000001,0.0015452362609131417,5.396210848713651,5.397089151286351,0.4386106199999999,0.001621028042285992,0.4381499289277118,0.439071311072288,2.3670282400000002,0.008710759653276107,2.3645526694975603,2.36950381050244,48.159900500000006,0.43962368221581205,48.03496083191282,48.28484016808719
SNTRUP761_run05_waveform,active,5.39615690376569,0.0030447982035672508,5.395984096055523,5.3963297114758575,0.5729816744769874,0.01064071133251686,0.5723777602478698,0.5735855887061051,3.091898253556485,0.05738432345792502,3.088641402733117,3.0951551043798533,23.551280146443514,13.624399783023927,22.778026494968962,24.324533797918065
SNTRUP761_run05_waveform,idle_post,5.396475000000001,0.003100053488676082,5.39559397454665,5.397356025453351,0.4370729599999999,0.0012483112994794796,0.43671819385400806,0.43742772614599174,2.3586541800000003,0.0070490736942190445,2.3566508554219454,2.360657504578055,47.86224064,0.4390376194820674,47.73746752909887,47.987013750901134
SNTRUP761_run17_waveform,active,5.396017197986577,0.0033967495008486483,5.395824172322163,5.396210223650991,0.5746373573825503,0.010359334345267575,0.5740486718187835,0.5752260429463171,3.1007533288590605,0.05593470369598456,3.0975747508267335,3.1039319068913875,23.565966981543625,13.624739217364127,22.791719619693286,24.340214343393964
SNTRUP761_run17_waveform,idle_post,5.3931000000000004,0.0053406890176899355,5.391582192974992,5.394617807025009,0.43824238,0.001994427879603264,0.43767556986810374,0.43880919013189623,2.36348306,0.010583718335852133,2.3604752005294984,2.3664909194705017,47.86361798000001,0.4382991208438702,47.739054748089636,47.98818121191038
SNTRUP761_run19_waveform,active,5.395966902581183,0.003510845918673771,5.395768143666672,5.396165661495694,0.5769800982514571,0.011037515050288205,0.5763552333154522,0.577604963187462,3.1133663788509574,0.05962153159472271,3.109991035365154,3.116741722336761,23.811966210657783,13.787284585634474,23.031429046175415,24.59250337514015
SNTRUP761_run19_waveform,idle_post,5.397025,0.0017657816099047163,5.396523170418973,5.397526829581027,0.4394903200000001,0.0009132011969563127,0.4392307910913902,0.43974984890861,2.37194056,0.004944707721949799,2.3705352896140766,2.3733458303859236,48.4121065,0.44052708152307096,48.28691008867043,48.53730291132957
SNTRUP761_run12_waveform,active,5.396066484899329,0.0033751783946046033,5.395874685047155,5.396258284751503,0.5744430889261745,0.01105158591438278,0.5738150650717753,0.5750711127805737,3.0997337760067114,0.05968532352161707,3.0963420630689034,3.1031254889445195,23.56493915184564,13.623658868541735,22.790753182526363,24.339125121164916
SNTRUP761_run12_waveform,idle_post,5.396699999999999,0.0028094229198995417,5.395901570840406,5.397498429159592,0.43795264,0.0009543270470090716,0.4376814232541255,0.4382238567458745,2.36349908,0.005114333654364294,2.362045602457474,2.364952557542526,47.863771320000005,0.44054863034789427,47.73856878456218,47.98897385543783
