algorithm,run_id,repetition,runtime_s,latency_ms
ML-DSA-44,ML-DSA-44_run01,1,1.386078,1.386078
ML-DSA-44,ML-DSA-44_run02,2,1.42101,1.42101
ML-DSA-44,ML-DSA-44_run03,3,1.371198,1.371198
ML-DSA-44,ML-DSA-44_run04,4,1.417844,1.417844
ML-DSA-44,ML-DSA-44_run05,5,1.395971,1.395971
ML-DSA-44,ML-DSA-44_run06,6,1.379157,1.379157
ML-DSA-44,ML-DSA-44_run07,7,1.390786,1.390786
ML-DSA-44,ML-DSA-44_run08,8,1.350096,1.350096
ML-DSA-44,ML-DSA-44_run09,9,1.384715,1.384715
ML-DSA-44,ML-DSA-44_run10,10,1.380186,1.380186
ML-DSA-44,ML-DSA-44_run11,11,1.351898,1.351898
ML-DSA-44,ML-DSA-44_run12,12,1.422389,1.422389
ML-DSA-44,ML-DSA-44_run13,13,1.392866,1.392866
ML-DSA-44,ML-DSA-44_run14,14,1.448995,1.448995
ML-DSA-44,ML-DSA-44_run15,15,1.359447,1.359447
ML-DSA-44,ML-DSA-44_run16,16,1.41694,1.41694
ML-DSA-44,ML-DSA-44_run17,17,1.360661,1.360661
ML-DSA-44,ML-DSA-44_run18,18,1.329578,1.329578
ML-DSA-44,ML-DSA-44_run19,19,1.447926,1.447926
ML-DSA-44,ML-DSA-44_run20,20,1.363391,1.363391
ML-DSA-44,ML-DSA-44_run21,21,1.369404,1.369404
ML-DSA-44,ML-DSA-44_run22,22,1.401252,1.401252
ML-DSA-44,ML-DSA-44_run23,23,1.360197,1.360197
ML-DSA-44,ML-DSA-44_run24,24,1.427713,1.427713
ML-DSA-44,ML-DSA-44_run25,25,1.367787,1.367787
ML-DSA-44,ML-DSA-44_run26,26,1.421605,1.421605
ML-DSA-44,ML-DSA-44_run27,27,1.375125,1.375125
ML-DSA-44,ML-DSA-44_run28,28,1.400395,1.400395
ML-DSA-44,ML-DSA-44_run29,29,1.391664,1.391664
ML-DSA-44,ML-DSA-44_run30,30,1.363286,1.363286
